Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
2015-06-18,1860,216,79,72,46,38,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-18
2015-06-19,1277,146,52,45,47,38,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-19
2015-06-20,190,25,6,10,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-20
2015-06-21,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-21
2015-06-22,1885,225,74,78,48,35,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-22
2015-06-23,1507,184,52,79,48,31,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-23
2015-06-24,1739,226,70,69,50,35,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-24
2015-06-25,1706,195,56,67,50,32,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-25
2015-06-26,1843,254,67,56,55,33,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-26
2015-06-27,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-27
2015-06-28,305,41,13,5,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-28
2015-06-29,2295,322,85,83,54,32,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-29
2015-06-30,1787,231,73,66,50,36,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-06-30
2015-07-01,1730,214,70,79,48,35,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-01
2015-07-02,1662,174,71,85,42,38,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-02
2015-07-03,885,103,29,58,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-03
2015-07-04,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-04
2015-07-05,700,75,33,29,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-05
2015-07-06,1452,195,48,70,52,29,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-06
2015-07-07,2315,298,84,102,51,32,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-07
2015-07-08,1681,214,56,89,50,29,21,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-08
2015-07-09,190,25,6,10,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-09
2015-07-10,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-10
2015-07-11,1625,104,82,43,31,56,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-11
2015-07-12,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-12
2015-07-13,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-13
2015-07-14,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-14
2015-07-15,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-15
2015-07-16,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-16
2015-07-17,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-17
2015-07-18,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-18
2015-07-19,0,0,0,0,0,0,0,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-07-19
